Id,Lot Area,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,SalePrice
770,8816,Sawyer,1Fam,1Story,5,6,1963,1963,VinylSd,VinylSd,None,0.0,TA,PConc,470.0,1121.0,1121,0,1.0,1,0,3,TA,5,Typ,0,Detchd,1963.0,2.0,480.0,Y,0,80,6,2009,139000
2063,8197,Sawyer,1Fam,1Story,6,5,1977,1977,Plywood,Plywood,BrkFace,148.0,TA,CBlock,660.0,660.0,1285,0,0.0,1,1,3,TA,7,Typ,1,Attchd,1977.0,2.0,528.0,Y,138,0,4,2007,143500
69,8640,Somerst,1Fam,2Story,7,5,2009,2009,VinylSd,VinylSd,None,0.0,TA,PConc,732.0,756.0,764,783,0.0,2,1,3,Gd,7,Typ,0,Attchd,2009.0,2.0,614.0,Y,169,45,6,2010,215200
2062,8724,Sawyer,1Fam,1Story,5,5,1968,1968,VinylSd,VinylSd,None,0.0,TA,CBlock,402.0,894.0,894,0,0.0,1,0,3,TA,5,Typ,1,Attchd,1968.0,2.0,450.0,Y,0,0,5,2007,129000
351,5664,StoneBr,TwnhsE,1Story,8,5,2000,2000,CemntBd,CmentBd,None,0.0,Gd,PConc,343.0,1501.0,1659,0,1.0,2,0,2,Ex,5,Typ,1,Attchd,2000.0,2.0,499.0,Y,212,59,10,2009,278000
2393,12867,NridgHt,1Fam,2Story,8,5,2005,2006,CemntBd,CmentBd,,,Gd,PConc,1209.0,1209.0,1209,1044,0.0,2,1,3,Ex,8,Typ,1,Attchd,2005.0,2.0,575.0,Y,243,142,7,2006,344133
12,7980,Gilbert,1Fam,1Story,6,7,1992,2007,HdBoard,HdBoard,None,0.0,TA,PConc,233.0,1168.0,1187,0,1.0,2,0,3,TA,6,Typ,0,Attchd,1992.0,2.0,420.0,Y,483,21,3,2010,185000
2339,34650,Gilbert,2fmCon,1Story,5,5,1955,1955,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,0.0,1056.0,1056,0,1.0,1,0,3,TA,5,Typ,0,Attchd,1955.0,2.0,572.0,Y,264,0,1,2006,145000
624,10573,NAmes,1Fam,1Story,6,6,1961,1961,MetalSd,MetalSd,BrkFace,3.0,TA,CBlock,141.0,1453.0,1453,0,1.0,2,0,3,TA,6,Typ,1,Attchd,1961.0,2.0,530.0,Y,0,49,4,2009,187500
86,8450,Sawyer,1Fam,1Story,5,8,1965,2009,MetalSd,MetalSd,None,0.0,TA,CBlock,224.0,894.0,894,0,1.0,1,0,3,TA,5,Typ,1,Detchd,1973.0,1.0,336.0,Y,416,144,4,2010,138500
1534,11700,Crawfor,1Fam,1.5Fin,5,6,1937,1995,WdShing,Wd Shng,None,0.0,TA,CBlock,336.0,942.0,1265,673,0.0,2,0,4,Gd,7,Min2,1,Detchd,1937.0,1.0,240.0,Y,0,40,7,2008,198000
2243,8250,IDOTRR,2fmCon,2Story,5,6,1895,2006,VinylSd,VinylSd,None,0.0,TA,CBlock,957.0,957.0,1034,957,0.0,2,0,4,TA,9,Typ,0,,,0.0,0.0,N,0,0,6,2007,119600
1957,8064,NAmes,1Fam,1.5Fin,5,7,1949,2006,MetalSd,MetalSd,None,0.0,TA,CBlock,672.0,672.0,672,252,0.0,1,0,3,TA,6,Typ,1,Detchd,2003.0,2.0,576.0,Y,0,0,7,2007,122900
380,9600,NWAmes,1Fam,1Story,8,5,1981,1981,BrkFace,BrkFace,None,0.0,Gd,PConc,1420.0,2524.0,2524,0,1.0,2,1,4,Gd,9,Typ,1,Attchd,1981.0,2.0,542.0,Y,474,120,7,2009,278000
2860,11435,Crawfor,1Fam,2Story,8,7,1929,1950,BrkFace,Stucco,None,0.0,TA,PConc,792.0,792.0,792,725,0.0,1,0,3,Gd,7,Typ,2,Detchd,1931.0,2.0,400.0,Y,0,0,6,2006,230000
2517,9549,Veenker,TwnhsE,1Story,8,5,1995,1996,BrkFace,BrkFace,None,0.0,Gd,PConc,0.0,1494.0,1494,0,1.0,1,1,2,Ex,6,Typ,1,Attchd,1995.0,2.0,481.0,Y,0,30,4,2006,270000
1933,10950,NAmes,1Fam,1Story,6,6,1952,1952,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,507.0,948.0,948,0,0.0,1,0,2,TA,5,Typ,0,Detchd,1952.0,2.0,410.0,N,0,48,4,2007,125000
820,10637,CollgCr,1Fam,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,336.0,Gd,PConc,417.0,1705.0,1718,0,1.0,2,0,3,Gd,7,Typ,1,Attchd,2007.0,3.0,826.0,Y,208,44,9,2009,297000
675,9000,NAmes,1Fam,1Story,6,6,1958,1958,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,CBlock,160.0,160.0,1142,0,0.0,1,0,2,TA,5,Typ,1,Basment,1958.0,1.0,384.0,Y,0,28,4,2009,113500
2910,2665,MeadowV,TwnhsE,2Story,5,6,1977,1977,CemntBd,CmentBd,None,0.0,TA,PConc,36.0,757.0,925,550,0.0,2,0,4,TA,6,Typ,1,Attchd,1977.0,1.0,336.0,Y,104,26,7,2006,127000
21,11751,NWAmes,1Fam,1Story,6,6,1977,1977,Plywood,Plywood,BrkFace,480.0,TA,CBlock,1139.0,1844.0,1844,0,0.0,2,0,3,TA,7,Typ,1,Attchd,1977.0,2.0,546.0,Y,0,122,1,2010,190000
1873,9600,NWAmes,1Fam,1Story,7,6,1973,1973,HdBoard,HdBoard,BrkFace,320.0,TA,CBlock,326.0,1242.0,1242,0,0.0,1,1,3,TA,6,Typ,1,Attchd,1973.0,2.0,528.0,Y,0,0,9,2007,175500
2125,8428,CollgCr,1Fam,1Story,5,7,1994,1994,VinylSd,VinylSd,None,0.0,TA,PConc,570.0,990.0,990,0,1.0,1,0,3,TA,5,Typ,0,Detchd,1995.0,1.0,384.0,Y,256,0,7,2007,146000
1489,9937,Edwards,1Fam,1Story,5,6,1965,1965,HdBoard,HdBoard,None,0.0,Gd,CBlock,136.0,1256.0,1256,0,1.0,1,1,3,TA,6,Typ,0,Attchd,1965.0,1.0,276.0,Y,736,68,6,2008,147500
2383,13891,NridgHt,1Fam,1Story,10,5,2006,2006,VinylSd,VinylSd,,,Ex,PConc,690.0,2076.0,2076,0,1.0,2,1,2,Ex,7,Typ,1,Attchd,2006.0,3.0,850.0,Y,216,229,9,2006,465000
983,9101,Mitchel,1Fam,SFoyer,5,6,1978,1978,Plywood,Plywood,BrkFace,104.0,TA,PConc,0.0,1097.0,1110,0,1.0,1,0,1,Gd,4,Typ,1,Attchd,1978.0,2.0,602.0,Y,303,30,7,2009,165500
1325,12150,OldTown,1Fam,1.5Fin,5,5,1954,1954,MetalSd,MetalSd,BrkFace,335.0,TA,BrkTil,1050.0,1050.0,1050,745,0.0,2,0,4,TA,7,Typ,0,Attchd,1954.0,1.0,352.0,Y,0,0,11,2008,131500
1378,11200,Sawyer,1Fam,1Story,5,5,1965,1965,HdBoard,HdBoard,None,0.0,TA,CBlock,134.0,1040.0,1040,0,1.0,1,0,3,TA,5,Typ,0,Detchd,1965.0,1.0,384.0,Y,0,0,2,2008,129500
1537,9670,Crawfor,1Fam,2Story,8,6,1935,1950,BrkFace,Stucco,Stone,40.0,TA,PConc,398.0,608.0,983,890,0.0,1,1,4,TA,9,Typ,2,Detchd,1935.0,2.0,786.0,Y,0,0,6,2008,257076
905,10998,Edwards,1Fam,1.5Fin,5,5,1941,1960,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,156.0,984.0,984,620,0.0,2,0,3,TA,6,Min2,0,Detchd,1977.0,2.0,660.0,Y,0,68,7,2009,117000
1532,7200,Crawfor,1Fam,2Story,7,6,1931,2000,Stucco,Wd Shng,None,0.0,TA,BrkTil,776.0,776.0,851,651,0.0,1,1,3,TA,6,Typ,1,Attchd,1931.0,1.0,270.0,P,0,0,2,2008,149000
132,9920,NAmes,1Fam,1Story,5,5,1954,1954,HdBoard,HdBoard,Stone,110.0,TA,CBlock,412.0,1056.0,1063,0,1.0,1,0,3,TA,6,Typ,0,Attchd,1954.0,1.0,280.0,Y,0,0,2,2010,128000
1078,2448,NridgHt,Twnhs,2Story,7,5,2003,2004,VinylSd,Wd Shng,Stone,106.0,Gd,PConc,764.0,764.0,764,862,0.0,2,1,2,Gd,6,Typ,0,BuiltIn,2003.0,2.0,474.0,Y,0,27,10,2008,155000
2511,2998,Somerst,TwnhsE,2Story,6,5,2000,2000,MetalSd,MetalSd,BrkFace,513.0,Gd,PConc,403.0,756.0,768,756,0.0,2,1,2,Gd,4,Typ,0,Detchd,2000.0,2.0,440.0,Y,0,32,6,2006,166000
912,7804,SWISU,1Fam,1.5Fin,4,3,1928,1950,WdShing,Plywood,None,0.0,TA,BrkTil,500.0,1122.0,1328,653,1.0,2,0,4,Gd,7,Min2,2,Detchd,1981.0,2.0,576.0,Y,431,44,12,2009,135000
2351,16692,NWAmes,1Fam,2Story,7,5,1978,1978,Plywood,Plywood,BrkFace,184.0,TA,CBlock,133.0,1392.0,1392,1392,1.0,3,1,5,Gd,12,Typ,2,Attchd,1978.0,2.0,564.0,Y,0,112,7,2006,250000
330,1476,MeadowV,Twnhs,2Story,4,7,1970,1970,CemntBd,CmentBd,None,0.0,TA,CBlock,370.0,546.0,546,546,0.0,1,1,3,TA,5,Typ,0,,,0.0,0.0,Y,200,26,3,2010,76000
2586,10170,NAmes,1Fam,1Story,6,6,1951,1951,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,CBlock,216.0,216.0,1575,0,0.0,1,1,2,Gd,5,Typ,1,Attchd,1951.0,2.0,400.0,Y,0,0,6,2006,155000
224,9364,Sawyer,1Fam,2Story,6,7,1969,1969,HdBoard,HdBoard,Stone,143.0,TA,CBlock,292.0,663.0,663,689,0.0,1,1,4,TA,7,Typ,0,Attchd,1969.0,1.0,299.0,Y,379,36,3,2010,158000
98,2544,Somerst,Twnhs,2Story,7,5,2004,2005,MetalSd,MetalSd,None,0.0,Gd,PConc,190.0,600.0,600,600,1.0,2,1,2,Gd,4,Typ,0,Detchd,2004.0,2.0,480.0,Y,0,172,2,2010,149500
2565,9888,NAmes,1Fam,1Story,5,6,1954,1975,MetalSd,MetalSd,None,0.0,TA,CBlock,450.0,936.0,936,0,0.0,1,0,2,TA,5,Typ,0,Attchd,1954.0,1.0,240.0,Y,0,0,3,2006,121000
1934,7942,NAmes,1Fam,1Story,6,7,1953,1953,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,0.0,1040.0,1040,0,0.0,1,0,3,TA,6,Typ,0,Attchd,1953.0,1.0,293.0,Y,0,0,6,2007,136000
997,15038,Gilbert,1Fam,2Story,6,5,1996,1996,HdBoard,HdBoard,None,0.0,TA,PConc,778.0,916.0,916,720,0.0,2,1,3,TA,7,Typ,1,Attchd,1996.0,2.0,386.0,Y,168,84,11,2008,173000
64,11764,NoRidge,1Fam,2Story,8,7,1999,2007,VinylSd,VinylSd,BrkFace,348.0,Gd,PConc,628.0,1152.0,1164,1106,0.0,2,1,4,Gd,9,Typ,1,Attchd,1999.0,3.0,671.0,Y,132,57,4,2010,290000
1799,9000,Somerst,1Fam,2Story,8,5,2007,2007,CemntBd,CmentBd,None,0.0,Gd,PConc,1120.0,1184.0,1184,1426,0.0,2,1,4,Ex,11,Typ,1,BuiltIn,2007.0,2.0,550.0,Y,208,364,8,2007,303477
230,20062,ClearCr,1Fam,1Story,7,7,1977,2001,Wd Sdng,Wd Sdng,None,0.0,Gd,CBlock,328.0,1420.0,1483,0,1.0,1,1,1,TA,4,Typ,2,Attchd,1977.0,2.0,690.0,Y,496,0,4,2010,270000
1295,7308,OldTown,1Fam,1.5Fin,5,5,1920,1950,WdShing,Wd Shng,None,0.0,Fa,BrkTil,576.0,936.0,960,780,0.0,1,0,2,Ex,6,Typ,1,Detchd,1920.0,1.0,225.0,N,0,0,6,2008,122250
638,8750,NAmes,1Fam,1Story,5,5,1955,1955,AsbShng,AsbShng,None,0.0,TA,CBlock,727.0,1382.0,1382,0,0.0,1,0,3,Gd,6,Typ,0,Attchd,1955.0,1.0,350.0,Y,280,0,7,2009,153000
2278,8402,Mitchel,1Fam,1Story,5,5,2007,2007,VinylSd,VinylSd,None,0.0,TA,PConc,914.0,1120.0,1120,0,0.0,1,0,3,TA,6,Typ,0,,,0.0,0.0,Y,0,30,12,2007,147000
2202,4000,Crawfor,1Fam,2Story,7,8,1930,1995,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,285.0,531.0,567,531,1.0,1,0,2,TA,5,Typ,1,Detchd,1930.0,1.0,216.0,Y,0,0,6,2007,148500
2833,3363,Edwards,TwnhsE,2Story,7,5,2004,2004,VinylSd,VinylSd,Stone,117.0,Gd,PConc,976.0,976.0,976,732,0.0,2,0,3,Gd,7,Maj1,0,Detchd,2004.0,2.0,380.0,Y,0,40,4,2006,130000
1707,13615,NridgHt,1Fam,1Story,9,5,2006,2006,MetalSd,MetalSd,Stone,510.0,Ex,PConc,1802.0,1802.0,1802,0,0.0,2,1,3,Ex,7,Typ,1,Attchd,2006.0,3.0,843.0,Y,158,105,6,2007,372000
2428,3013,Blmngtn,TwnhsE,1Story,7,5,2005,2005,VinylSd,VinylSd,BrkFace,145.0,Gd,PConc,1346.0,1362.0,1506,0,0.0,2,0,2,Gd,6,Typ,1,Attchd,2005.0,2.0,440.0,Y,142,20,4,2006,213490
242,17485,Edwards,1Fam,1Story,7,5,2009,2010,VinylSd,VinylSd,Stone,96.0,Gd,PConc,162.0,1508.0,1508,0,1.0,1,0,1,Gd,5,Typ,2,Attchd,2009.0,2.0,572.0,Y,0,0,1,2010,308030
1564,23730,Mitchel,1Fam,1Story,7,5,1996,1997,MetalSd,MetalSd,BrkFace,668.0,Gd,PConc,1140.0,1840.0,2032,0,1.0,3,0,3,Gd,7,Typ,0,Attchd,1996.0,3.0,786.0,Y,0,46,9,2008,300000
2613,8910,NAmes,1Fam,1Story,6,6,1959,1959,BrkFace,BrkFace,None,0.0,TA,CBlock,0.0,655.0,1194,0,0.0,1,0,3,TA,6,Typ,1,BuiltIn,1954.0,2.0,539.0,Y,0,0,7,2006,159500
2832,2522,Edwards,Twnhs,2Story,7,5,2004,2004,VinylSd,VinylSd,Stone,50.0,Gd,PConc,970.0,970.0,970,739,0.0,2,0,3,Gd,7,Maj1,0,Detchd,2004.0,2.0,380.0,Y,0,40,4,2006,137500
2459,8688,Somerst,1Fam,1Story,7,5,2005,2005,VinylSd,VinylSd,BrkFace,228.0,Gd,PConc,1616.0,1616.0,1616,0,0.0,2,0,3,Gd,7,Typ,0,Attchd,2005.0,3.0,834.0,Y,208,59,4,2006,232000
1360,6291,IDOTRR,1Fam,1Story,6,6,1930,1950,Stucco,Wd Shng,None,0.0,Gd,BrkTil,768.0,768.0,768,0,0.0,1,0,1,TA,4,Typ,0,Detchd,1930.0,2.0,440.0,N,0,0,7,2008,93850
2723,17529,Sawyer,1Fam,1Story,5,5,1924,1950,BrkFace,Wd Sdng,Stone,65.0,TA,BrkTil,872.0,872.0,872,0,0.0,1,0,2,Fa,5,Mod,1,Detchd,1924.0,1.0,322.0,N,0,0,4,2006,105000
1350,6324,BrkSide,1Fam,1Story,4,6,1927,1950,MetalSd,MetalSd,None,0.0,TA,BrkTil,520.0,520.0,520,0,0.0,1,0,1,Fa,4,Typ,0,Detchd,1920.0,1.0,240.0,Y,49,0,5,2008,68500
136,11600,NAmes,Duplex,2Story,5,5,1960,1960,MetalSd,MetalSd,BrkFace,361.0,TA,CBlock,662.0,1105.0,1105,1169,0.0,2,0,5,TA,12,Typ,0,Detchd,1960.0,2.0,480.0,Y,0,0,1,2010,154300
2235,7288,IDOTRR,1Fam,1.5Fin,5,7,1925,2003,VinylSd,VinylSd,None,0.0,Gd,BrkTil,936.0,936.0,936,665,0.0,2,0,3,TA,6,Typ,0,,,0.0,0.0,N,0,0,9,2007,129850
1993,4571,OldTown,1Fam,2Story,5,7,1910,1950,MetalSd,MetalSd,None,0.0,TA,BrkTil,448.0,616.0,616,616,0.0,1,0,3,TA,6,Typ,0,Detchd,1920.0,2.0,480.0,Y,280,0,6,2007,114000
367,17423,StoneBr,1Fam,1Story,9,5,2008,2009,VinylSd,VinylSd,Stone,748.0,Ex,PConc,312.0,2216.0,2234,0,1.0,2,0,1,Ex,9,Typ,1,Attchd,2009.0,3.0,1166.0,Y,0,60,7,2009,501837
1309,12665,OldTown,1Fam,1.5Fin,5,8,1915,1950,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,876.0,876.0,876,540,0.0,1,1,4,TA,7,Typ,1,Detchd,1949.0,3.0,720.0,Y,418,0,6,2008,153900
402,9000,NAmes,1Fam,1Story,4,7,1971,2006,VinylSd,VinylSd,None,0.0,TA,CBlock,624.0,864.0,864,0,0.0,1,0,3,TA,5,Typ,0,Detchd,1986.0,2.0,576.0,Y,200,0,7,2009,130000
1592,4500,Mitchel,TwnhsE,1Story,6,5,1997,1997,VinylSd,VinylSd,BrkFace,197.0,TA,PConc,325.0,1189.0,1189,0,1.0,2,0,2,TA,4,Typ,0,Attchd,1997.0,2.0,392.0,Y,0,122,4,2008,160500
2409,6373,NridgHt,TwnhsE,1Story,9,5,2006,2006,MetalSd,MetalSd,BrkFace,572.0,Ex,PConc,1251.0,1666.0,1666,0,1.0,2,0,2,Gd,6,Typ,1,Attchd,2006.0,2.0,575.0,Y,228,75,6,2006,310090
539,10083,SawyerW,1Fam,1Story,7,5,2003,2003,VinylSd,VinylSd,,,Gd,PConc,343.0,1176.0,1200,0,1.0,2,0,2,Gd,5,Typ,0,Attchd,2003.0,2.0,555.0,Y,0,41,8,2009,184900
1940,13300,NAmes,1Fam,1Story,5,7,1956,2000,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,551.0,928.0,928,0,0.0,1,0,2,TA,4,Typ,0,Attchd,1956.0,1.0,252.0,Y,261,0,6,2007,132000
588,9600,NWAmes,1Fam,1Story,5,5,1969,1969,HdBoard,HdBoard,BrkFace,128.0,TA,CBlock,588.0,1288.0,1336,0,0.0,2,0,3,TA,6,Typ,1,Attchd,1969.0,2.0,502.0,Y,312,11,8,2009,163000
96,3215,Somerst,TwnhsE,2Story,7,5,2004,2004,MetalSd,MetalSd,BrkFace,120.0,Gd,PConc,320.0,600.0,600,600,0.0,2,1,2,Gd,4,Typ,0,Detchd,2004.0,2.0,480.0,Y,0,172,4,2010,155000
1187,11104,NWAmes,1Fam,SLvl,6,6,1969,1969,MetalSd,MetalSd,None,0.0,TA,CBlock,599.0,1427.0,1427,0,0.0,2,0,4,TA,7,Typ,0,Attchd,1969.0,2.0,516.0,Y,0,0,5,2008,183000
2154,15295,CollgCr,1Fam,2Story,7,5,1996,2002,VinylSd,VinylSd,BrkFace,254.0,Gd,PConc,98.0,860.0,1212,780,1.0,2,1,3,Gd,7,Min2,2,Attchd,1996.0,2.0,608.0,Y,225,32,6,2007,211000
550,9109,SawyerW,1Fam,2Story,7,5,1994,1994,VinylSd,VinylSd,None,0.0,Gd,PConc,122.0,754.0,754,786,1.0,2,1,3,Gd,6,Typ,0,Attchd,1994.0,2.0,495.0,Y,140,32,10,2009,184000
811,7018,SawyerW,Duplex,1Story,5,5,1979,1979,HdBoard,HdBoard,None,0.0,TA,Slab,0.0,0.0,1535,0,0.0,2,0,4,TA,8,Typ,0,Attchd,1979.0,2.0,400.0,Y,0,0,6,2009,118858
124,14112,NAmes,1Fam,SLvl,5,7,1964,1964,Wd Sdng,HdBoard,BrkFace,86.0,TA,PConc,138.0,1152.0,1152,0,1.0,1,0,3,TA,6,Typ,1,Attchd,1964.0,2.0,484.0,Y,227,0,4,2010,180500
1836,3523,Somerst,TwnhsE,1Story,8,5,2006,2007,VinylSd,VinylSd,Stone,30.0,Gd,PConc,1081.0,1141.0,1151,0,1.0,2,0,2,Gd,5,Typ,0,Attchd,2006.0,2.0,484.0,Y,0,60,2,2007,166000
779,15312,Sawyer,1Fam,SLvl,6,5,1960,1960,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,CBlock,550.0,1138.0,1138,0,0.0,1,0,3,TA,6,Typ,1,Attchd,1960.0,2.0,480.0,Y,0,0,3,2009,148000
1886,7450,NAmes,1Fam,1Story,5,5,1956,1956,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,250.0,894.0,1074,0,0.0,1,0,2,Gd,6,Min1,1,Detchd,1966.0,2.0,396.0,Y,0,72,1,2007,124000
1724,7313,NridgHt,TwnhsE,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,408.0,1561.0,1561,0,1.0,2,0,2,Ex,6,Typ,1,Attchd,2005.0,2.0,556.0,Y,203,47,8,2007,277500
2450,10019,NoRidge,1Fam,2Story,8,5,1995,1995,VinylSd,VinylSd,BrkFace,397.0,Gd,PConc,815.0,1342.0,1358,1368,0.0,2,1,4,Gd,9,Typ,1,Attchd,1995.0,3.0,725.0,Y,307,169,6,2006,350000
1013,15401,StoneBr,1Fam,1Story,9,5,2004,2004,VinylSd,VinylSd,BrkFace,296.0,Ex,PConc,547.0,1884.0,1884,0,1.0,2,0,2,Ex,7,Typ,1,Attchd,2004.0,3.0,670.0,Y,214,76,9,2008,387000
2084,9098,Edwards,1Fam,1Story,4,7,1920,2002,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,180.0,528.0,605,0,1.0,1,0,2,TA,5,Typ,0,,,0.0,0.0,N,0,0,7,2007,86000
1184,16280,Veenker,1Fam,1Story,8,9,1976,2007,VinylSd,VinylSd,None,0.0,Ex,CBlock,0.0,1426.0,1671,0,1.0,3,0,3,Ex,6,Typ,1,Attchd,1976.0,2.0,550.0,Y,280,90,5,2008,290000
728,9392,IDOTRR,1Fam,1Story,3,3,1900,1950,AsbShng,AsbShng,None,0.0,TA,CBlock,245.0,245.0,797,0,0.0,1,0,2,TA,5,Typ,0,,,0.0,0.0,N,0,36,9,2009,44000
950,12209,Mitchel,1Fam,2Story,6,5,2001,2002,VinylSd,VinylSd,None,0.0,TA,PConc,114.0,804.0,804,1157,1.0,2,1,3,Gd,7,Typ,1,BuiltIn,2001.0,2.0,560.0,Y,125,192,6,2009,215000
2524,13110,NWAmes,2fmCon,1Story,5,6,1972,1972,Plywood,Plywood,BrkFace,144.0,TA,CBlock,191.0,1153.0,1193,0,1.0,2,0,2,TA,6,Typ,0,Attchd,1972.0,2.0,501.0,Y,140,153,7,2006,146500
